,data,subsistema,id_empreendimento_aneel,id_reservatorio_planejamento,id_posto_vazao,reservatorio_equivalente,reservatorio,tipo_reservatorio,usina,bacia,rio,cota_maxima,cota_minima,volume_maximo,volume_minimo,volume_util,produtividade_especifica,produtividade_65_volume_util,tipo_perda,perda_carga,latitude,longitude,sistema,codigo,estado_sigla
87,2011-08-09,SUDESTE/CENTRO-OESTE,UHE.PH.MT.029597-3.01,31,291,MADEIRA,DARDANELOS,FIO DAGUA,DARDANELOS,AMAZONAS,ARIPUANA,214.0,213.5,0.91,0.87,0.04,0.008917,0.8689,m,1.5,-10.16305556,-59.46361111,sin,19145,MT
88,2003-04-08,SUDESTE/CENTRO-OESTE,UHE.PH.MT.001066-9.01,196,296,MADEIRA,GUAPORE,FIO DAGUA,GUAPORE,AMAZONAS,GUAPORE,479.2,478.7,21.0,21.0,2.05,0.008922,1.5452,m,1.73,-15.12166667,-58.96416667,sin,19136,MT
89,2011-03-31,SUDESTE/CENTRO-OESTE,UHE.PH.RO.027448-8.01,276,145,MADEIRA,RONDON II,RESERVATORIO COM USINA,RONDON II,AMAZONAS,JI-PARANA,268.0,264.0,478.29,192.17,286.12,0.008721,0.5244,m,1.76,-11.99722222,-60.69722222,sin,19138,RO
90,1990-12-31,SUDESTE/CENTRO-OESTE,UHE.PH.RO.002687-5.01,279,279,MADEIRA,SAMUEL,RESERVATORIO COM USINA,SAMUEL,AMAZONAS,JAMARI,87.4,80.0,3493.44,943.23,2550.2,0.008932,0.2762,m,0.24,-8.751944444,-63.45416667,sin,19137,RO
91,2013-09-06,SUDESTE/CENTRO-OESTE,UHE.PH.RO.029736-4.01,285,285,MADEIRA,JIRAU,FIO DAGUA,JIRAU,AMAZONAS,MADEIRA,90.0,82.39,2746.73,1235.59,1511.14,0.009065,0.155,m,0.16,-9.268333333,-64.64861111,sin,19148,RO
92,2012-03-30,SUDESTE/CENTRO-OESTE,UHE.PH.RO.029707-0.01,287,287,MADEIRA,SANTO ANTONIO,FIO DAGUA,SANTO ANTONIO,AMAZONAS,MADEIRA,71.3,70.5,2282.8,2077.3,489.87,0.008819,0.1589,m,0.14,-8.801111111,-63.94972222,sin,19135,RO
93,1972-01-02,SUDESTE/CENTRO-OESTE,UHE.PH.SP.027131-4.01,12,12,SUDESTE,JAGUARI,RESERVATORIO COM USINA,JAGUARI,PARAIBA DO SUL,JAGUARI,623.0,603.2,1236.0,443.0,792.48,0.008536,0.5163,m,0.42,-23.1925,-46.02138889,sin,19092,SP
94,1924-03-01,SUDESTE/CENTRO-OESTE,UHE.PH.RJ.001113-4.01,13,13,SUDESTE,ILHA POMBOS,FIO DAGUA,ILHA DOS POMBOS,PARAIBA DO SUL,PARAIBA SUL,140.0,137.4,8.0,8.0,6.75,0.008484,0.2702,m,0.3,-21.84472222,-42.57916667,sin,19097,MG
95,1924-03-01,SUDESTE/CENTRO-OESTE,UHE.PH.RJ.001113-4.01,13,13,SUDESTE,ILHA POMBOS,FIO DAGUA,ILHA DOS POMBOS,PARAIBA DO SUL,PARAIBA SUL,140.0,137.4,8.0,8.0,6.75,0.008484,0.2702,m,0.3,-21.84472222,-42.57916667,sin,19097,RJ
96,1956-01-01,SUDESTE/CENTRO-OESTE,UHE.PH.SP.001084-7.01,119,318,SUDESTE,HENRY BORDEN,FIO DAGUA,HENRY BORDEN SUBTERRANEA,TIETE,CUBATAO,728.75,728.75,1.0,1.0,1.0,0.007939,5.6808,m,10.67,-23.87444444,-46.4525,sin,19035,SP
