,data,id_reservatorio,nome_reservatorio,afluencia,bacia,rio,estado_sigla
145,2000-10-15,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
146,2000-10-16,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
147,2000-10-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
148,2000-10-18,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
149,2000-10-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
150,2000-10-21,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
151,2000-10-26,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
152,2000-10-27,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
153,2000-10-28,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
154,2000-10-30,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
155,2000-11-02,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
156,2000-11-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
157,2000-11-04,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
158,2000-11-05,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
159,2000-11-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
160,2000-11-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
161,2000-11-12,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
162,2000-11-13,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
163,2000-11-15,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
164,2000-11-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
165,2000-11-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
166,2000-11-20,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
167,2000-11-21,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
168,2000-11-23,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
169,2000-11-24,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
170,2000-11-27,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
171,2000-11-28,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
172,2000-12-01,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
173,2000-12-02,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
174,2000-12-05,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
175,2000-12-06,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
176,2000-12-07,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
177,2000-12-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
178,2000-12-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
179,2000-12-10,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
180,2000-12-13,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
181,2000-12-16,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
182,2000-12-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
183,2000-12-18,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
184,2000-12-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
185,2000-12-20,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
186,2000-12-21,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
187,2000-12-27,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
188,2000-12-28,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
189,2000-12-29,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
190,2000-12-30,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
191,2000-12-31,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
192,2001-01-03,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
193,2001-01-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
194,2001-01-16,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
195,2001-01-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
196,2001-01-18,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
197,2001-01-19,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
198,2001-01-21,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
199,2001-01-24,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
200,2001-01-26,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
201,2001-01-30,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
202,2001-02-05,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
203,2001-02-08,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
204,2001-02-09,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
205,2001-02-12,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
206,2001-02-13,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
207,2001-02-17,19135,SANTO ANTONIO,,AMAZONAS,MADEIRA,RO
